pks,po,pks,,po,pkn
poslušný,pes,,,šaty,z hedvábí
mourovatá,kočka,,,věž,z kamene
vysoká,žirafa,,,hnízdo,vos
drahé,šaty,,,zpěv,ptáků
kamenná,věž,,,král,Británie
vosí,hnízdo,,,srdce,z perníku
ptačí,zpěv,,,šupina,z ryby
britský,král,,,čokoláda,s oříšky
plynový,sporák,,,paní,z jezera
perníkové,srdce,,,zápas,ve fotbale
srdeční,komora,,,klobouk,ze slámy
srdcová,královna,,,mistrovství,světa
králičí,nora,,,sešit,z matematiky
rybí,šupina,,,šaty,na léto
vánoční,stromeček,,,kožich,z norka
oříšková,čokoláda,,,prsten,ze zlata
jahodové,lízátko,,,náhrdelník,s diamanty
jezerní,paní,,,veletrh,knih
fotbalový,zápas,,,přání,dětí
dědečkova,chata,,,žrádlo,pro kočky
slaměný,klobouk,,,kompot,z broskví
první,závod,,,souprava,na čaj
můj,sešit,,,cesta,po poli
letní,šaty,,,buchty,s tvarohem
dětské,přání,,,taška,do školy
naše,zahrada,,,boty,na sport
stříbrný,prsten,,,taška,z papíru
letecká,doprava,,,výpadek,elektřiny
knižní,veletrh,,,otec,nevěsty
česká,pošta,,,rána,osudu
lidová,pohádka,,,auto,na baterky
její,hřeben,,,práce,v hodině
křestní,jméno,,,parfém,z Paříže
shnilé,jablko,,,krém,na opalování
zdravý,zub,,,police ,ze dřeva
bledý,chlapec,,,vývar ,z kuřete
psí,žrádlo,,,koláč,s třešněmi
švestkový,kompot,,,festival,filmů
lednové,slevy,,,záložka,do knihy
čajová,souprava,,,krém,proti vráskám
hokejové,utkání,,,maso,na grilování
dřevěné,police,,,sukně,z hedvábí
polní,cesta,,,klec,andulky
sluneční,brýle,,,strom,v zahradě
anglický,čaj,,,oplatka,s oříšky
tvarohové,buchty,,,dům,u jezera
makový,závin,,,nůžky,na plech
skleněné,ozdoby,,,prášek,do pečiva
smetanový,sýr,,,místo,činu
lidská,práva,,,střelba,z pušky
filmový,festival,,,okraj,zahrady
základní,škola,,,kilo,mouky
kuřecí,vývar,,,litr,mléka
rajská,polévka,,,léky,na předpis
třetí,princ,,,muž,činu
moje,maminka,,,studenti ,z Lotyšska
liberecké,pochutiny,,,obyvatelé,Krkonoš
starověký,Egypt,,,hokejisté,z Pardubic
kolektivní,vina,,,sýr,z Francie
pravěká,jeskyně,,,klasy,obilí
epický,žánr,,,spolužák,ze třídy
podmořský,svět,,,zub,moudrosti
zoologická,zahrada,,,výčitky,svědomí
květnové,povstání,,,obraz,Leonarda da Vinci
písečná,bouře,,,jednička,z angičtiny
nečitelný,zápis,,,naušnice,s diamanty
oznamovací,věta,,,brýle,bez obrouček
magnetická,tabule,,,sněhulák,na zahradě
mobilní,telefon,,,tužka,na oči
školní,batoh,,,štětec,na líčení
velká,obrazovka,,,boty,na podpatku
naše,fenka,,,stůl,do dílny
druhé,místo,,,dárek,z lásky
tato,ulice,,,dárek,k narozeninám
divadelní,představení,,,květina,pro babičku
dešťové,přeháňky,,,cesta,do Země nezemě
papírová,taška,,,chuť,pomáhat
první,vlaštovka,,,proud,vody
sportovní,obuv,,,zajíc,na smetaně
pomerančový,džus,,,kuře,na paprice
bezlepkový,chléb,,,pěstování,borůvek
čokoládový,bonbón,,,štěkot,psa
sousedův,pes,,,brnění,pro rytíře
,slunéčko,sedmitečné,,drak,se sedmi hlavami
,kyselina,sírová,,představení,v divadle
,mandelinka,bramborová,,budka,pro ptáčky
,medvěd,lední,,jízda,metrem
,koala,medvídkovitý,,panelák,naproti
,žirafa,masajská,,ryby,z potoka
,slon,africký,,bratr,Petry
,ježek,bělobřichý,,koření,na guláš
,orel,skalní,,sáček,brambůrek
,smetanka,lékařská,,kytice,pivoněk
,slunečnice,roční,,paprsky,slunce
,heřmánek,pravý,,kamarád,z tábora
,rmenec,sličný,,úder,mečem
,včela,medonosná,,lístek,na koncert
,kočka,domácí,,výlet,do pravěku
,vlk,obecný,,učebnice,na matematiku
,oxid,uhličitý,,lak,na nehty
